400	2013-01-12 00:00:00	33142	400
400	2013-01-13 00:00:00	34448	348
400	2013-01-14 00:00:00	35526	506
400	2013-01-15 00:00:00	35872	486
400	2013-01-16 00:00:00	33600	418
400	2013-01-17 00:00:00	31364	436
400	2013-01-18 00:00:00	31376	460
400	2013-01-19 00:00:00	31900	416
400	2013-01-20 00:00:00	33168	336
400	2013-01-21 00:00:00	36566	434
400	2013-01-22 00:00:00	36568	340
400	2013-01-23 00:00:00	34160	370
400	2013-01-24 00:00:00	33496	460
400	2013-01-25 00:00:00	30930	356
400	2013-01-26 00:00:00	29438	402
400	2013-01-27 00:00:00	29876	266
400	2013-01-28 00:00:00	30890	328
400	2013-01-29 00:00:00	28582	364
400	2013-01-30 00:00:00	25292	216
400	2013-01-31 00:00:00	22448	278
401	2013-01-01 00:00:00	34390	912
401	2013-01-02 00:00:00	45228	1334
401	2013-01-03 00:00:00	51318	1668
401	2013-01-04 00:00:00	51444	1722
401	2013-01-05 00:00:00	52006	1706
401	2013-01-06 00:00:00	55190	1820
401	2013-01-07 00:00:00	54034	1694
401	2013-01-08 00:00:00	54200	1782
401	2013-01-09 00:00:00	53738	1978
401	2013-01-10 00:00:00	51104	1918
401	2013-01-11 00:00:00	52418	1362
401	2013-01-12 00:00:00	50178	1376
401	2013-01-13 00:00:00	47418	1150
401	2013-01-14 00:00:00	54966	1544
401	2013-01-15 00:00:00	54270	1392
401	2013-01-16 00:00:00	48218	1738
401	2013-01-17 00:00:00	46764	1650
401	2013-01-18 00:00:00	46040	1612
401	2013-01-19 00:00:00	46024	1260
401	2013-01-20 00:00:00	48792	1160
401	2013-01-21 00:00:00	51758	1486
401	2013-01-22 00:00:00	51638	1884
401	2013-01-23 00:00:00	52202	1548
401	2013-01-24 00:00:00	48570	1448
401	2013-01-25 00:00:00	45432	1382
401	2013-01-26 00:00:00	40050	1062
401	2013-01-27 00:00:00	42272	888
401	2013-01-28 00:00:00	42730	1094
401	2013-01-29 00:00:00	44642	1102
401	2013-01-30 00:00:00	37504	1138
401	2013-01-31 00:00:00	32976	1124
402	2013-01-01 00:00:00	19282	966
402	2013-01-02 00:00:00	27598	1432
402	2013-01-03 00:00:00	29180	1340
402	2013-01-04 00:00:00	27020	1294
402	2013-01-05 00:00:00	29678	1590
402	2013-01-06 00:00:00	29888	1374
402	2013-01-07 00:00:00	30646	1438
402	2013-01-08 00:00:00	32682	1606
402	2013-01-09 00:00:00	30446	1428
402	2013-01-10 00:00:00	30030	1416
402	2013-01-11 00:00:00	28422	1382
402	2013-01-12 00:00:00	27996	1506
402	2013-01-13 00:00:00	28508	1188
402	2013-01-14 00:00:00	32754	1442
402	2013-01-15 00:00:00	29924	958
402	2013-01-16 00:00:00	27638	1168
402	2013-01-17 00:00:00	29240	1166
