河池	150	806	5.35	749	28	4	0	23	0	0	0
鹰潭	132	1061	8.01	594	173	0	7	256	30	0	0
阿坝	12	50	3.92	44	3	0	0	2	0	0	0
蚌埠	759	6208	8.17	3115	712	0	1	714	1414	97	152
昌吉	356	3383	9.49	2125	177	10	0	599	470	0	0
西双版纳	152	1145	7.5	631	114	4	0	186	208	0	0
铜仁	197	1788	9.07	880	167	6	0	184	550	0	0
郑州	16919	170732	10.09	87937	9839	1148	533	14666	45502	1358	9745
福州	7209	73982	10.26	39261	5812	1081	172	8197	16925	598	1932
上饶	506	4855	9.58	2869	621	0	0	786	541	36	0
连云港	964	7549	7.83	5782	372	23	0	1371	0	0	0
延安	394	3288	8.34	2144	263	20	0	860	0	0	0
吉林	946	8973	9.48	5046	801	14	0	2468	633	10	0
绍兴	838	7058	8.42	3777	830	48	42	1742	613	5	0
咸宁	211	1526	7.22	960	99	19	0	291	152	2	0
喀什	214	1846	8.6	960	182	15	0	636	51	0	0
永州	230	1807	7.84	1298	135	3	0	294	73	2	0
阿勒泰	82	578	6.97	481	40	0	0	56	0	0	0
巢湖	253	1865	7.35	1164	198	0	0	194	309	0	0
庆阳	311	2782	8.94	1186	238	0	0	211	1097	48	0
怀化	470	4290	9.11	2528	359	18	0	452	931	0	0
南宁	3861	33273	8.61	16224	4255	128	49	5994	5950	158	512
恩施	349	3304	9.46	1972	170	4	0	1030	126	0	0
潜江	46	270	5.83	203	51	0	0	15	0	0	0
果洛	0	0	1.0	0	0	0	0	0	0	0	0
那曲	0	1	2.25	1	0	0	0	0	0	0	0
黄石	333	2835	8.49	1568	333	0	0	590	338	4	0
呼和浩特	2808	26208	9.33	15370	1645	265	17	3409	4656	269	574
汉中	344	3060	8.89	1817	137	2	0	156	843	103	0
图木舒克	5	32	6.36	20	6	0	0	5	0	0	0
宜昌	1315	11394	8.66	8004	450	66	23	676	2015	157	0
三亚	1374	11470	8.34	5441	898	267	7	1921	2689	49	196
海口	2976	29308	9.84	13478	2938	377	134	5670	6010	192	505
重庆	12182	106728	8.76	65927	5713	863	127	14820	16850	508	1917
清远	244	2235	9.15	753	375	3	0	623	465	13	0
张掖	157	1025	6.52	675	165	0	0	128	55	0	0
忻州	245	1817	7.4	1159	218	0	0	290	143	5	0
新余	169	1382	8.16	1004	92	5	0	163	117	0	0
唐山	2103	19887	9.45	11136	1585	57	15	3555	3450	86	0
萍乡	180	1440	7.97	1205	62	0	0	150	22	0	0
嘉兴	1308	10774	8.23	5462	1426	66	56	3198	565	0	0
德州	1296	10304	7.94	6025	819	30	0	1226	2036	64	101
广元	217	1735	7.97	993	76	6	0	658	0	0	0
咸阳	890	8300	9.31	4826	439	26	0	586	2344	77	0
娄底	384	3238	8.42	2107	300	0	0	387	420	21	0
北京	59091	531992	9.0	233580	20968	8743	5676	46197	147298	10838	58689
莱芜	234	1800	7.69	1203	140	0	0	438	18	0	0
郴州	642	5193	8.08	3030	687	51	0	1219	204	0	0
宝鸡	862	7519	8.72	3620	440	0	0	482	2857	35	84
兰州	3380	27651	8.17	15510	1397	180	0	1860	7735	298	668
丽江	221	1564	7.04	899	173	5	0	314	171	0	0
凉山	220	1721	7.81	871	197	30	0	182	435	4	0
张家界	116	1091	9.34	679	74	0	0	337	0	0	0
厦门	6806	67040	9.85	35891	6030	629	200	8757	11826	402	3304
淮南	446	3762	8.42	2081	292	16	0	373	998	0	0
通辽	539	4707	8.73	3704	396	12	0	593	0	0	0
北海	729	5433	7.44	2141	627	29	0	1950	674	10	0
海西	121	820	6.74	674	111	0	0	34	0	0	0
临夏	48	287	5.9	179	76	0	0	30	0	0	0
晋城	555	4608	8.29	2175	429	0	0	947	1049	7	0
