阿坝	11	39	3.4	33	3	0	0	2	0	0	0
蚌埠	375	2617	6.97	1272	186	6	2	205	733	0	211
昌吉	166	1185	7.12	687	62	9	0	413	12	0	0
西双版纳	97	639	6.56	285	32	5	0	76	193	0	45
铜仁	106	924	8.68	404	50	4	0	43	419	0	0
郑州	7739	69334	8.95	30539	3233	284	442	4640	21607	29	8557
福州	4112	42772	10.4	18372	2112	296	103	3341	13303	47	5195
上饶	284	2021	7.11	1199	175	23	5	355	262	0	0
连云港	396	2616	6.59	1912	136	6	0	462	98	0	0
延安	147	914	6.18	625	52	16	0	220	0	0	0
吉林	483	3676	7.6	1872	365	6	1	1040	389	0	0
绍兴	520	3623	6.95	1801	363	22	7	664	663	11	89
咸宁	116	730	6.28	447	57	1	0	89	134	0	0
果洛	1	3	2.29	2	0	0	0	0	0	0	0
永州	136	815	5.96	506	67	0	1	168	72	0	0
阿勒泰	48	281	5.85	225	18	0	0	37	0	0	0
巢湖	148	900	6.07	505	65	0	0	121	205	0	0
庆阳	153	1047	6.83	486	64	2	7	114	372	0	0
怀化	207	1445	6.97	803	128	4	2	209	264	0	32
南宁	2828	24224	8.56	10416	3298	96	51	3672	6060	23	605
恩施	148	968	6.5	600	48	4	1	137	136	0	39
潜江	37	191	5.12	145	18	0	0	27	0	0	0
那曲	0	1	2.25	1	0	0	0	0	0	0	0
黄石	208	1500	7.2	861	183	5	1	246	202	0	0
泰安	522	3421	6.54	1715	402	2	0	794	435	0	70
汉中	200	1475	7.34	834	92	3	0	112	303	0	129
图木舒克	2	9	4.49	5	2	0	0	0	0	0	0
郴州	328	2288	6.97	1314	273	11	5	460	223	0	0
宜昌	563	4273	7.58	2639	166	11	2	421	801	0	231
三亚	796	5909	7.41	2594	480	71	41	914	1610	5	192
海口	1796	16441	9.15	7445	1622	78	6	2844	3661	2	779
重庆	6791	59986	8.83	32567	3361	251	79	8450	12018	8	3248
清远	186	1286	6.88	380	188	7	2	238	405	0	64
张掖	84	563	6.63	328	82	1	0	149	0	0	0
忻州	114	616	5.4	418	43	0	0	65	86	0	0
新余	87	525	5.99	362	38	3	2	52	66	0	0
唐山	1107	8428	7.61	3637	820	12	4	1504	1825	0	623
萍乡	107	685	6.39	483	38	1	0	158	1	0	0
嘉兴	818	5727	6.99	2424	825	18	10	1282	924	0	240
德州	612	3847	6.28	2123	331	18	0	609	663	0	100
广元	122	839	6.86	427	59	4	0	346	0	0	0
咸阳	486	3515	7.23	1858	243	14	3	330	873	0	191
娄底	169	1080	6.35	625	86	11	2	191	162	0	0
北京	35469	368105	10.37	134314	17383	1848	5062	27350	131865	563	49718
池州	111	766	6.9	366	93	0	0	153	153	0	0
晋城	283	1943	6.86	941	286	0	0	353	360	0	0
宝鸡	384	2785	7.24	1317	152	0	1	387	846	0	79
兰州	1830	15206	8.3	6636	642	36	32	1312	5125	0	1420
丽江	117	760	6.49	291	78	7	8	74	219	1	79
凉山	123	867	7.01	401	76	6	0	102	233	0	46
张家界	60	427	7.03	226	54	0	0	82	64	0	0
厦门	3629	32421	8.93	12230	2002	118	328	3652	10193	22	3873
淮南	230	1633	7.07	818	181	10	0	223	399	0	0
通辽	257	1675	6.5	1129	111	4	0	429	0	0	0
喀什	99	657	6.62	339	47	6	0	119	144	0	0
北海	344	2031	5.89	915	322	15	22	352	402	0	0
海西	42	253	5.97	222	19	0	0	12	0	0	0
临夏	25	152	5.98	78	8	0	0	20	45	0	0
楚雄	61	324	5.25	135	22	0	0	161	4	0	0
绵阳	395	2951	7.46	1441	302	3	2	603	437	0	160
牡丹江	242	1611	6.65	1003	124	0	2	478	1	0	0
孝感	174	1152	6.58	634	202	0	0	286	28	0	0
乌兰察布	68	377	5.51	311	19	0	0	45	0	0	0
滨州	541	3718	6.87	2238	270	24	4	968	211	0	0
资阳	127	767	6.03	418	94	1	0	124	128	0	0
张家口	306	2056	6.71	1108	202	5	0	548	191	0	0
大庆	309	1831	5.91	1213	74	2	0	326	213	0	0
昆明	2277	21771	9.56	6888	1331	34	115	1891	8355	2	3153
朔州	85	449	5.23	357	39	0	0	52	0	0	0
迪庆	8	36	4.06	21	9	0	0	5	0	0	0
巴彦淖尔	105	673	6.38	495	35	0	0	86	54	0	0
合肥	5587	49892	8.92	24303	2880	214	78	7098	10976	26	4313
五家渠	26	154	5.86	116	11	0	0	25	0	0	0
百色	105	586	5.58	468	34	0	0	83	0	0	0
广安	100	598	5.95	442	46	2	0	106	0	0	0
珠海	1285	9987	7.77	3488	1363	23	9	3274	1531	0	297
海东	20	90	4.45	66	5	0	0	18	0	0	0
毕节	87	502	5.77	251	106	0	0	135	8	0	0
拉萨	143	1077	7.51	669	28	6	11	114	246	0	0
三明	244	1623	6.64	1019	118	5	0	276	202	0	0
阜阳	399	2991	7.49	1631	196	10	3	517	632	0	0
荆州	274	1988	7.24	988	141	4	8	319	416	3	105
济南	6778	63791	9.41	25905	3178	122	236	6604	21709	3	6031
沧州	568	3959	6.96	2134	346	1	2	634	677	0	162
上海	25447	256660	10.08	87917	11635	1139	2632	24948	90798	321	37267
泉州	1419	11685	8.23	5351	1002	60	49	1627	2790	3	800
菏泽	416	2835	6.8	1282	363	9	0	666	388	0	124
崇左	36	163	4.44	140	5	0	0	17	0	0	0
镇江	313	2033	6.48	924	218	3	7	368	457	0	53
阳泉	176	1036	5.86	671	65	3	0	124	170	0	0
台州	647	4777	7.37	2732	374	48	7	559	850	5	198
威海	1098	9282	8.45	4836	761	46	35	1765	1499	0	336
甘孜	11	45	3.91	36	4	0	0	5	0	0	0
莆田	662	6209	9.37	3218	575	64	70	808	1157	5	309
乐山	203	1480	7.26	697	147	2	0	401	195	0	35
长沙	4453	38997	8.75	18581	2285	85	165	4241	10226	8	3401
中山	1117	8310	7.43	3310	1062	34	19	2175	1530	0	178
吴忠	40	225	5.6	121	21	0	0	82	0	0	0
贺州	79	509	6.4	284	35	0	0	189	0	0	0
南充	285	1962	6.87	1064	178	3	0	224	398	1	90
保山	45	228	5.06	167	10	0	0	27	23	0	0
运城	257	1521	5.91	824	130	11	0	349	177	2	26
襄阳	493	4065	8.23	1647	308	6	23	813	1032	0	233
岳阳	229	1564	6.81	854	132	2	0	194	303	0	75
玉树	1	3	2.39	1	0	0	0	1	0	0	0
贵阳	1575	13252	8.41	5877	1242	54	46	1116	3583	2	1329
乌鲁木齐	1737	14199	8.17	7169	710	88	16	2132	3304	2	775
常德	254	1777	6.98	950	124	1	0	272	365	0	62
石河子	188	1483	7.88	722	97	5	17	527	112	0	0
眉山	149	1000	6.7	530	119	2	0	188	155	0	3
太原	2892	25604	8.85	10391	1328	153	65	3546	8284	2	1833
长春	2678	23879	8.91	11621	1704	40	17	6209	3460	0	825
随州	113	854	7.54	418	96	3	0	332	2	0	0
玉溪	84	493	5.83	254	57	2	1	53	96	0	28
株洲	658	5221	7.92	2363	289	14	23	716	1309	1	502
阿里	1	1	1.65	1	0	0	0	0	0	0	0
莱芜	134	851	6.31	455	61	0	0	121	211	0	0
铁岭	197	1306	6.63	717	128	0	0	302	158	0	0
西安	7962	77729	9.76	32758	4793	291	278	5588	26775	5	7237
嘉峪关	39	225	5.66	163	11	0	0	50	0	0	0
