驻马店	94	465	4.89	377	42	5	0	38	0	0	0
锦州	185	926	4.98	707	92	1	0	124	0	0	0
石嘴山	18	82	4.51	72	6	0	0	3	0	0	0
呼伦贝尔	66	276	4.17	227	39	0	0	8	0	0	0
九江	142	873	6.1	501	73	9	17	45	226	0	0
辽阳	68	285	4.19	236	29	0	0	20	0	0	0
三门峡	59	254	4.29	222	20	1	0	10	0	0	0
阜新	86	397	4.59	333	44	1	0	17	0	0	0
鸡西	34	137	3.98	121	15	0	0	0	0	0	0
深圳	2526	16633	6.58	8272	2118	296	243	3444	2215	43	0
渭南	60	259	4.29	219	25	0	0	11	2	0	0
柳州	167	879	5.25	553	55	1	0	255	13	0	0
广州	1662	11278	6.78	5609	1219	388	98	2728	1217	16	0
平凉	25	102	3.97	90	10	0	0	1	0	0	0
雅安	21	88	4.18	74	8	0	0	5	0	0	0
大理	64	339	5.23	243	33	3	0	57	0	0	0
营口	76	370	4.82	301	34	1	0	31	0	0	0
湛江	129	691	5.33	430	50	9	0	201	0	0	0
邯郸	321	1867	5.81	1288	123	31	1	379	42	0	0
吉安	92	459	4.96	371	37	1	0	47	1	0	0
呼和浩特	349	2130	6.1	1195	107	66	0	727	33	0	0
新乡	164	950	5.77	785	55	8	0	100	0	0	0
白城	31	128	4.12	111	8	0	0	5	1	1	0
玉林	65	348	5.32	271	53	0	1	21	0	0	0
吕梁	29	104	3.6	89	8	0	0	7	0	0	0
四平	104	512	4.91	353	46	3	0	47	61	0	0
天门	13	59	4.37	56	2	0	0	0	0	0	0
湖州	74	341	4.61	305	29	0	0	5	0	0	0
盐城	171	980	5.71	791	48	10	0	97	32	0	0
山南	0	1	3.2	1	0	0	0	0	0	0	0
安顺	33	137	4.07	123	8	0	0	4	0	0	0
鄂州	38	200	5.15	159	18	2	0	14	5	0	0
滁州	67	338	4.99	257	31	3	0	44	0	0	0
天津	1338	9627	7.19	5778	708	109	17	1334	1678	0	0
东营	197	951	4.81	784	77	11	3	74	0	0	0
武威	28	115	4.03	94	11	0	0	3	5	0	0
文山	22	96	4.38	89	6	0	0	0	0	0	0
盘锦	103	453	4.36	354	67	7	0	24	0	0	0
益阳	90	448	4.95	394	40	3	0	9	0	0	0
漯河	125	669	5.33	545	42	8	2	70	0	0	0
衡阳	150	970	6.46	775	57	4	0	96	35	0	0
黔南	37	170	4.48	149	14	0	0	5	0	0	0
日喀则	2	13	4.97	12	0	0	0	0	0	0	0
阳江	42	186	4.39	165	15	0	0	4	0	0	0
阿克苏	64	308	4.82	247	33	4	0	19	3	0	0
濮阳	123	588	4.76	434	51	2	0	99	0	0	0
塔城	7	24	3.4	19	3	0	0	0	0	0	0
朝阳市	113	574	5.04	449	86	2	0	37	0	0	0
洛阳	352	2185	6.19	1249	127	37	50	219	501	0	0
红河	41	176	4.2	146	14	2	2	8	1	0	0
儋州	5	17	3.14	14	1	0	0	1	0	0	0
南京	1733	12224	7.05	7597	780	432	57	1390	1954	11	0
齐齐哈尔	150	811	5.39	748	43	5	0	14	0	0	0
伊春	9	24	2.7	21	1	0	0	1	0	0	0
安康	38	173	4.51	134	24	2	0	12	0	0	0
六盘水	29	128	4.42	114	8	0	0	4	0	0	0
和田	2	11	4.2	9	1	0	0	0	0	0	0
内江	63	287	4.54	214	38	0	0	33	0	0	0
鹤壁	52	235	4.47	185	15	0	0	28	6	0	0
六安	120	588	4.89	424	48	15	0	98	0	0	0
本溪	94	404	4.26	350	35	0	0	17	0	0	0
信阳	181	1007	5.56	819	81	17	1	86	0	0	0
库尔勒	12	45	3.5	40	5	0	0	0	0	0	0
白银	26	115	4.37	103	7	0	0	2	0	0	0
昭通	15	66	4.19	56	5	0	0	4	0	0	0
曲靖	56	270	4.82	197	23	2	0	47	0	0	0
泰州	109	453	4.15	369	35	8	0	37	0	0	0
长治	118	613	5.15	427	52	11	3	55	63	0	0
怒江	1	5	3.44	5	0	0	0	0	0	0	0
兴安	18	82	4.52	76	4	0	0	0	0	0	0
葫芦岛	112	498	4.43	432	52	0	0	13	0	0	0
亳州	42	153	3.62	133	15	0	0	3	0	0	0
达州	66	298	4.5	259	21	1	0	15	0	0	0
秦皇岛	167	819	4.88	683	56	1	0	78	0	0	0
阿拉善	1	3	2.85	3	0	0	0	0	0	0	0
黔东南	49	219	4.45	201	15	1	0	1	0	0	0
南昌	439	2668	6.06	1739	279	70	81	400	93	3	0
钦州	27	130	4.73	105	18	0	0	7	0	0	0
武汉	2621	22705	8.66	12479	1719	799	255	4057	3315	78	0
