北京	1	4026.1730	295133
北京	2	4911.6266	362809
北京	3	9545.8399	181869
大连	1	1669.1806	18190
大连	2	1773.6988	18703
大连	3	2874.8809	3636
沈阳	1	1970.9473	20604
沈阳	2	2741.3861	21607
沈阳	3	2577.4519	4461
西安	1	1788.7967	31633
西安	2	2091.9619	53784
西安	3	2535.7440	25005
南京	1	2064.4166	10493
南京	2	2126.8888	23800
南京	3	2465.4044	13503
郑州	1	1500.5752	28291
郑州	2	1927.5604	32479
郑州	3	2454.6227	23263
天津	1	1754.1510	27555
天津	2	1828.1528	39292
天津	3	2962.6457	8946
上海	1	2358.8321	77185
上海	2	3110.6700	94171
上海	3	4239.1413	38028
成都	1	1351.8956	18607
成都	2	1634.8604	31472
成都	3	1924.6439	17284
深圳	1	2038.2569	34585
深圳	2	2990.4387	26882
深圳	3	3917.7285	24412
济南	1	2064.1545	17636
济南	2	1727.1238	32611
济南	3	2753.6489	15701
广州	1	2014.2064	41783
广州	2	2725.2166	71593
广州	3	3653.6264	54050
合肥	1	1437.7684	12524
合肥	2	1977.6250	20315
合肥	3	1864.8161	18288
武汉	1	1381.3650	23327
武汉	2	2266.5460	27207
武汉	3	2468.1585	16378
昆明	1	2207.2133	4632
昆明	2	1853.3019	7078
昆明	3	2458.8070	6985
青岛	1	1892.0769	10912
青岛	2	1843.5580	26203
青岛	3	3008.1133	11776
重庆	1	1199.1324	15285
重庆	2	1385.0668	20685
重庆	3	1717.6282	9492
厦门	1	1643.2419	14591
厦门	2	2474.5297	11009
厦门	3	3588.3470	9181
石家庄	1	2149.0738	10150
石家庄	2	1357.2886	29304
石家庄	3	1821.3253	11179
杭州	1	2027.5452	17213
杭州	2	2632.7775	19397
杭州	3	3431.8770	15959
福州	1	1792.9197	20731
福州	2	2723.4954	16430
福州	3	3112.6779	16639
苏州	1	1537.8199	15682
苏州	2	2418.2630	30809
苏州	3	2244.5850	20767
