朝阳	938370	134052.85
海淀	552876	78982.28
昌平	356406	50915.14
丰台	321688	45955.42
通州	212944	30420.57
燕郊	211542	30220.28
大兴	162617	23231.0
东城	113971	16281.57
西城	101825	14546.42
顺义	101610	14515.71
宣武	97021	13860.14
石景山	75008	10715.42
房山	69294	9899.14
崇文	54422	7774.57
门头沟	25058	3579.71
密云	23982	3426.0
怀柔	11384	1626.28
平谷	8775	1253.57
延庆	1184	169.14
	0	0.0
