2015-03-05	ankang.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-05	bj.ganji.com	2971	20965	7.056546617300572	6301	1291	443	456	3300	9026	148	0
2015-03-05	changde.ganji.com	14	49	3.5	13	0	0	0	34	2	0	0
2015-03-05	fuxin.ganji.com	3	5	1.6666666666666667	3	1	0	0	1	0	0	0
2015-03-05	heyuan.ganji.com	5	20	4.0	3	0	0	0	17	0	0	0
2015-03-05	heze.ganji.com	10	114	11.4	53	32	0	0	29	0	0	0
2015-03-05	panjin.ganji.com	3	8	2.6666666666666665	6	2	0	0	0	0	0	0
2015-03-05	wenzhou.ganji.com	83	342	4.120481927710843	90	62	5	25	56	104	0	0
2015-03-06	baicheng.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-06	cangzhou.ganji.com	24	87	3.625	57	4	4	0	18	4	0	0
2015-03-06	dazhou.ganji.com	3	4	1.3333333333333333	2	0	0	0	2	0	0	0
2015-03-06	dehong.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-06	haixi.ganji.com	1	2	2.0	2	0	0	0	0	0	0	0
2015-03-06	jiangmen.ganji.com	28	153	5.464285714285714	23	6	0	0	78	46	0	0
2015-03-06	quanzhou.ganji.com	89	406	4.561797752808989	153	83	13	0	145	12	0	0
2015-03-06	weifang.ganji.com	125	731	5.848	336	66	10	0	205	114	0	0
2015-03-06	xm.ganji.com	322	1604	4.9813664596273295	537	71	77	59	274	586	0	0
2015-03-06	yunfu.ganji.com	3	4	1.3333333333333333	1	3	0	0	0	0	0	0
2015-03-06	yuxi.ganji.com	1	3	3.0	2	1	0	0	0	0	0	0
2015-03-07	benxi.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-07	deyang.ganji.com	2	22	11.0	19	0	0	0	3	0	0	0
2015-03-07	huainan.ganji.com	8	36	4.5	27	5	0	0	0	4	0	0
2015-03-07	huanggang.ganji.com	5	35	7.0	35	0	0	0	0	0	0	0
2015-03-07	huludao.ganji.com	7	11	1.5714285714285714	11	0	0	0	0	0	0	0
2015-03-07	puer.ganji.com	1	1	1.0	0	0	0	0	1	0	0	0
2015-03-07	shantou.ganji.com	33	210	6.363636363636363	13	37	0	0	81	79	0	0
2015-03-07	siping.ganji.com	2	14	7.0	10	2	0	0	2	0	0	0
2015-03-07	tangshan.ganji.com	38	247	6.5	54	4	7	13	61	108	0	0
2015-03-07	tongling.ganji.com	10	46	4.6	36	5	0	0	1	4	0	0
2015-03-07	xiantao.ganji.com	2	7	3.5	7	0	0	0	0	0	0	0
2015-03-07	zhanjiang.ganji.com	18	92	5.111111111111111	30	16	0	0	43	3	0	0
2015-03-07	zjtaizhou.ganji.com	24	123	5.125	81	7	0	0	33	2	0	0
2015-03-08	akesu.ganji.com	1	1	1.0	0	0	0	0	1	0	0	0
2015-03-08	leshan.ganji.com	4	18	4.5	5	6	0	0	7	0	0	0
2015-03-08	luzhou.ganji.com	5	10	2.0	0	1	0	0	8	1	0	0
2015-03-08	sjz.ganji.com	168	920	5.476190476190476	303	81	18	0	180	327	11	0
2015-03-08	xa.ganji.com	385	2808	7.293506493506493	783	189	48	19	353	1416	0	0
2015-03-08	xiaogan.ganji.com	2	3	1.5	3	0	0	0	0	0	0	0
2015-03-08	xinyu.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-08	xuzhou.ganji.com	75	328	4.373333333333333	138	23	4	6	148	9	0	0
2015-03-09	jxyichun.ganji.com	10	97	9.7	49	2	0	0	46	0	0	0
2015-03-09	luan.ganji.com	12	60	5.0	40	2	0	0	18	0	0	0
2015-03-09	panzhihua.ganji.com	5	11	2.2	7	2	0	0	2	0	0	0
2015-03-09	xiangtan.ganji.com	6	7	1.1666666666666667	7	0	0	0	0	0	0	0
2015-03-09	yangjiang.ganji.com	3	7	2.3333333333333335	4	2	0	0	1	0	0	0
2015-03-10	baiyin.ganji.com	2	2	1.0	2	0	0	0	0	0	0	0
2015-03-10	cc.ganji.com	146	913	6.2534246575342465	375	123	9	13	265	114	14	0
2015-03-10	changzhi.ganji.com	16	80	5.0	67	0	0	0	9	4	0	0
2015-03-10	hz.ganji.com	585	3106	5.309401709401709	879	178	58	96	481	1405	9	0
2015-03-10	langfang.ganji.com	33	150	4.545454545454546	78	13	0	0	57	2	0	0
2015-03-10	liupanshui.ganji.com	2	24	12.0	22	2	0	0	0	0	0	0
2015-03-10	tj.ganji.com	340	1850	5.4411764705882355	592	200	45	31	311	671	0	0
2015-03-10	wuhai.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-11	ahsuzhou.ganji.com	6	9	1.5	9	0	0	0	0	0	0	0
2015-03-11	anshan.ganji.com	22	59	2.6818181818181817	47	3	0	0	7	2	0	0
2015-03-11	changzhou.ganji.com	106	482	4.547169811320755	114	37	8	30	48	241	4	0
2015-03-11	hetian.ganji.com	1	1	1.0	1	0	0	0	0	0	0	0
2015-03-11	huaihua.ganji.com	15	101	6.733333333333333	68	9	0	0	21	3	0	0
2015-03-11	jstaizhou.ganji.com	12	56	4.666666666666667	45	4	0	0	5	2	0	0
2015-03-11	nanping.ganji.com	8	35	4.375	13	4	0	0	18	0	0	0
2015-03-11	tongliao.ganji.com	3	9	3.0	9	0	0	0	0	0	0	0
2015-03-11	wx.ganji.com	146	641	4.390410958904109	207	42	0	13	66	308	5	0
2015-03-12	changji.ganji.com	4	21	5.25	15	0	1	0	5	0	0	0
2015-03-12	chengde.ganji.com	6	33	5.5	20	5	0	0	8	0	0	0
