北京	1	4012.7883	504396
北京	2	4892.2459	629322
北京	3	9425.4172	313356
大连	1	1752.6442	37068
大连	2	1826.3393	39358
大连	3	3051.8159	7163
沈阳	1	1685.8292	43059
沈阳	2	2213.6051	45035
沈阳	3	2782.6798	9331
西安	1	1736.5248	61362
西安	2	1910.6784	107825
西安	3	2624.4653	49874
南京	1	1881.1286	20187
南京	2	2089.1525	42952
南京	3	2433.7757	24755
郑州	1	1709.0169	58293
郑州	2	1898.8009	65074
郑州	3	2382.3175	48210
天津	1	2147.0328	53772
天津	2	1862.1685	80808
天津	3	2836.7077	18420
上海	1	2362.7090	152371
上海	2	3188.6072	188211
上海	3	4349.4512	76255
成都	1	1356.3790	37407
成都	2	1673.9192	64153
成都	3	1951.8821	36207
深圳	1	1907.6867	70765
深圳	2	3055.6377	57461
深圳	3	4182.8264	52120
济南	1	1737.7982	35185
济南	2	1704.8916	68104
济南	3	2542.3369	33575
广州	1	1991.0827	83506
广州	2	2708.1156	148640
广州	3	3672.4599	112156
合肥	1	1323.5520	25290
合肥	2	1758.0663	41344
合肥	3	1861.2392	39237
武汉	1	1368.1250	48963
武汉	2	2253.3683	55392
武汉	3	2445.9906	32808
昆明	1	3152.8936	9697
昆明	2	1848.0399	14988
昆明	3	2459.8166	14414
青岛	1	2075.1812	24297
青岛	2	1955.8016	60081
青岛	3	3044.7123	27355
重庆	1	1165.0254	30889
重庆	2	1411.5445	42495
重庆	3	1669.2938	18701
厦门	1	1717.4215	31077
厦门	2	2489.1075	22466
厦门	3	3643.6389	19858
石家庄	1	1937.6593	22795
石家庄	2	1358.6741	66336
石家庄	3	1840.5114	25490
杭州	1	1944.1858	34817
杭州	2	2667.0957	38389
杭州	3	3436.4078	30649
福州	1	2133.8656	47426
福州	2	2468.8059	38500
福州	3	3144.9837	40023
苏州	1	1521.3307	31969
苏州	2	2117.7368	61994
苏州	3	2243.7739	42168
