dt,all,1,2,3,2more,,
2019/2/6,73,33,8,32,40,,
2019/2/7,87,38,17,32,49,,
2019/2/8,348,304,18,26,44,,
2019/2/9,1129,1064,14,51,65,,
2019/2/10,189,102,18,69,87,,
2019/2/11,4139,1650,575,1914,2489,,
2019/2/12,6150,2323,1004,2823,3827,,
2019/2/13,8652,3480,1394,3778,5172,,
2019/2/14,8881,3565,1433,3883,5316,,
2019/2/15,8671,3540,1302,3829,5131,,
2019/2/16,5254,2510,774,1970,2744,,
2019/2/17,4264,1868,695,1701,2396,,
2019/2/18,11907,5241,1902,4764,6666,,
2019/2/19,10362,4405,1749,4208,5957,,
2019/2/20,11219,4397,1813,5009,6822,,
2019/2/21,6424,2511,1055,2858,3913,,
