keywordId,onepv_uvc,mt_uvc,mt_pvc,uvc,pvc,sum(sr.impression),sum(sr.click),sum(sr.uv),sum(sr.pv),sum(sr.vppv),sum(sr.cost),avg(sr.position),terminal,subcategory,keyword,sc
47665200449,,1.0,3.0,1,3,6,1,1,3,0,17.57,1.25,2.0,1.0,深圳生产力大厦,1
47665200458,15.0,3.0,8.0,18,23,589,24,18,23,21,175.63,1.077666667,2.0,1.0,深圳优品文化创意园,24
47665200464,4.0,1.0,2.0,5,6,50,6,5,6,6,58.46,1.078947368,2.0,1.0,深圳北科大厦,6
47665200479,1.0,,,1,1,9,1,1,1,1,5.08,1.0,2.0,1.0,罗湖安华大厦,1
47665200506,2.0,,,2,2,27,3,2,2,2,17.63,1.2,2.0,1.0,罗湖鼎丰大厦,3
47665200521,11.0,3.0,9.0,14,20,831,18,14,20,18,185.04,1.459354839,2.0,1.0,龙华新区清湖科技园,18
47665200530,,1.0,3.0,1,3,22,1,1,3,3,6.21,1.4375,2.0,1.0,宝安华丰商务大厦,1
47665200533,5.0,1.0,2.0,6,7,137,6,6,7,7,55.87,1.0,2.0,1.0,龙岗天安云谷,6
47665200551,1.0,1.0,3.0,2,4,39,3,2,4,2,24.87,1.553333333,2.0,1.0,龙岗满京华喜悦里,3
47665200569,1.0,,,1,1,4,1,1,1,1,3.14,1.0,2.0,1.0,宝安万源商务大厦,1
47665200581,2.0,1.0,2.0,3,4,461,3,3,4,3,33.32,1.016129032,2.0,1.0,罗湖爵士大厦,3
47665200593,1.0,,,1,1,31,1,1,1,1,5.78,1.0,2.0,1.0,宝安西部硅谷,1
47665200641,5.0,2.0,4.0,7,9,77,9,7,9,9,70.44,1.1052,2.0,1.0,龙华新区宝能科技园,9
47665200644,1.0,,,1,1,4,1,1,1,1,9.95,1.0,2.0,1.0,罗湖世金国际,1
47665200653,1.0,,,1,1,45,1,1,1,0,14.18,1.375,2.0,1.0,罗湖丽晶大厦,1
47665200668,,1.0,2.0,1,2,3,1,1,2,2,9.18,1.0,2.0,1.0,宝安宝安智谷,1
47665200689,5.0,1.0,3.0,6,8,179,6,6,8,8,74.71,1.212333333,2.0,1.0,龙华新区中泰科技园,6
47665200755,1.0,,,1,1,20,1,1,1,1,3.2,1.0,2.0,1.0,龙岗草根创业园,1
47665200758,1.0,,,1,1,4,1,1,1,1,3.2,1.0,2.0,1.0,宝安明禧产业园,1
47665200785,1.0,,,1,1,8,1,1,1,1,6.73,1.7075,2.0,1.0,南山海王银河科技大厦,1
47665200788,1.0,1.0,2.0,2,3,40,2,2,3,2,17.32,1.0,2.0,1.0,宝安龙光世纪大厦,2
47665200806,1.0,2.0,4.0,3,5,53,2,3,5,5,21.17,1.112777778,2.0,1.0,罗湖振业大厦,2
47665200830,2.0,,,2,2,15,2,2,2,2,21.7,1.0,2.0,1.0,罗湖怡泰大厦,2
47665200851,1.0,,,1,1,13,1,1,1,1,17.04,1.0,2.0,1.0,罗湖桂都大厦,1
47665200878,2.0,,,2,2,17,2,2,2,2,39.31,1.272727273,2.0,1.0,罗湖笋岗大厦,2
47665200926,,1.0,2.0,1,2,8,1,1,2,2,8.91,1.0,2.0,1.0,宝安 东联大厦,1
47665200929,2.0,,,2,2,9,2,2,2,2,19.03,1.333333333,2.0,1.0,罗湖锦绣大厦,2
47665200956,1.0,,,1,1,7,1,1,1,1,3.97,1.0,2.0,1.0,龙岗布吉文博宫,1
47665200992,1.0,,,1,1,7,1,1,1,1,7.29,1.8325,2.0,1.0,罗湖金福大厦,1
47665200998,1.0,1.0,2.0,2,3,23,2,2,3,2,22.0,1.111111111,2.0,1.0,南山海运中心,2
47665201004,1.0,,,1,1,19,3,1,1,1,18.25,1.212727273,2.0,1.0,南山西丽花卉中心,3
