dt,uv,1,2,3,2more
2018/12/4,6716,2874,1136,2706,3842
2018/12/5,7246,3310,1250,2686,3936
2018/12/6,8532,4075,1486,2971,4457
2018/12/7,7003,3277,1242,2484,3726
2018/12/8,3330,2141,413,776,1189
2018/12/9,2742,1449,469,824,1293
2018/12/10,6864,2979,1177,2708,3885
2018/12/11,8065,3664,1440,2961,4401
2018/12/12,6602,2865,1163,2574,3737
2018/12/13,6530,2835,1090,2605,3695
2018/12/14,6472,2975,1098,2399,3497
2018/12/15,3703,2169,533,1001,1534
2018/12/16,2026,975,343,708,1051
2018/12/17,6953,3010,1155,2788,3943
2018/12/18,7272,3231,1251,2790,4041
2018/12/19,7232,3191,1204,2837,4041
2018/12/20,6595,2902,1119,2574,3693
2018/12/21,6401,2974,1126,2301,3427
2018/12/22,3740,2193,586,961,1547
2018/12/23,2853,1431,488,934,1422
2018/12/24,6951,3238,1209,2504,3713
2018/12/25,7077,3200,1250,2627,3877
2018/12/26,7883,3617,1361,2905,4266
2018/12/27,7577,3455,1355,2767,4122
2018/12/28,6569,2989,1123,2457,3580
2018/12/29,5381,2917,821,1643,2464
2018/12/30,2232,1139,379,714,1093
2018/12/31,2057,1145,364,548,912
2019/1/1,2221,1235,392,594,986
2019/1/2,7036,3246,1162,2628,3790
2019/1/3,7516,3366,1344,2806,4150
2019/1/4,8087,3829,1387,2871,4258
2019/1/5,4376,2493,669,1214,1883
2019/1/6,3088,1572,506,1010,1516
2019/1/7,7214,3266,1323,2625,3948
2019/1/8,7245,3404,1268,2573,3841
2019/1/9,5961,2773,1008,2180,3188
2019/1/10,5381,2407,969,2005,2974
2019/1/11,4901,2184,852,1865,2717
2019/1/12,155,57,13,85,98
2019/1/13,95,42,13,40,53
2019/1/14,4239,1747,742,1750,2492
2019/1/15,1815,670,311,834,1145
2019/1/16,1706,672,275,759,1034
2019/1/17,1579,645,264,670,934
2019/1/18,1365,582,200,583,783
2019/1/19,922,869,10,43,53
2019/1/20,56,32,5,19,24
2019/1/21,694,275,99,320,419
2019/1/22,500,207,71,222,293
2019/1/23,644,254,89,301,390
2019/1/24,582,274,84,224,308
2019/1/25,438,252,38,148,186
2019/1/26,717,715,1,1,2
2019/1/28,45,23,4,18,22
2019/1/29,34,21,3,10,13
2019/1/30,31,9,5,17,22
2019/1/31,18,10,1,7,8
2019/2/1,246,240,2,4,6
2019/2/2,873,863,3,7,10
2019/2/9,1003,1000,2,1,3
2019/2/11,3370,1324,506,1540,2046
2019/2/12,5232,2017,916,2299,3215
2019/2/13,7478,3096,1269,3113,4382
2019/2/14,7611,3151,1310,3150,4460
2019/2/15,7479,3183,1169,3127,4296
2019/2/16,4638,2301,702,1635,2337
2019/2/17,3757,1656,643,1458,2101
2019/2/18,8862,3553,1512,3797,5309
2019/2/19,8377,3490,1518,3369,4887
2019/2/20,9830,3999,1679,4152,5831
2019/2/21,9370,3886,1578,3906,5484
2019/2/22,9228,3915,1524,3789,5313
2019/2/23,1884,1088,280,516,796
2019/2/24,1090,524,166,400,566
2019/2/25,7795,3166,1210,3419,4629
2019/2/26,7981,3229,1271,3481,4752
2019/2/27,8388,3600,1563,3225,4788
2019/2/28,5398,2234,912,2252,3164
