3	200.481	6	0	0	3	6	3	6	3	5	0	11	1	1	16	0	1	15	1	0	1	98.2142857143	98.2142857143	60.76	62.72	0	13.5	30.0
3	190.21375	13	3	0	5	25	5	25	6	2	1	36	1	1	16	0	0	14	1	1	1	95.2380952381	96.130952381	47.25	60.025	-5	16.5	30.0
3	189.906	18	14	0	1	6	1	6	2	2	0	10	1	0	15	0	0	16	0	0	1	90.4761904762	94.6428571429	64.96	66.22	0	4.5	20.0
3	188.8	0	0	0	0	0	0	0	0	16	0	5	1	1	16	0	0	16	1	1	0	100.0	100.0	70.0	58.8	0	19.5	30.0
3	188.76375	0	0	0	5	35	5	35	5	9	1	60	1	1	16	0	1	14	1	1	1	100.0	100.0	42.35	54.775	-5	21.0	30.0
3	188.18	8	0	0	0	0	0	0	0	12	2	5	1	1	16	1	0	16	0	0	1	97.619047619	97.619047619	70.0	61.6	-10	10.5	30.0
3	186.345238095	19	14	0	0	0	0	0	0	0	0	1	1	1	14	0	1	14	1	1	0	90.1785714286	94.3452380952	70.0	70.0	0	21.0	22.0
3	185.90825	17	9	0	2	17	2	17	2	20	0	27	1	1	16	0	0	15	0	0	1	92.2619047619	94.9404761905	57.47	52.115	0	3.0	30.0
3	185.78	28	13	4	0	0	0	0	0	2	1	4	1	1	16	0	0	14	1	0	1	87.7976190476	83.3333333333	70.0	68.6	-5	7.5	30.0
3	184.9325	53	23	0	0	0	0	0	0	3	0	1	1	0	16	1	1	16	0	0	1	77.380952381	84.2261904762	70.0	67.9	0	15.0	24.0
3	183.7325	63	8	2	1	10	1	10	1	0	0	11	1	1	16	1	1	16	1	0	1	78.869047619	77.0833333333	63.0	67.9	0	21.0	30.0
3	183.5775	36	4	3	0	0	0	0	0	6	0	5	1	1	15	0	0	16	0	0	1	88.0952380952	83.0357142857	70.0	65.8	0	4.5	26.0
3	183.208	24	15	1	1	8	1	8	1	2	1	10	1	1	14	1	0	16	0	0	1	88.3928571429	90.7738095238	63.98	66.71	-5	10.5	22.0
3	182.763	21	18	3	2	8	2	8	4	13	0	11	1	1	16	0	0	15	0	0	1	88.3928571429	87.5	61.88	56.56	0	3.0	30.0
3	181.972380952	1	1	3	1	6	1	6	1	14	0	8	1	1	16	1	0	14	1	0	0	99.4047619048	93.4523809524	64.96	58.52	0	13.5	30.0
3	181.276904762	5	3	3	1	7	1	7	1	6	1	7	1	1	16	0	0	15	1	1	0	97.619047619	92.2619047619	64.47	64.015	-5	18.0	30.0
3	181.02775	29	1	2	3	9	3	9	3	1	2	13	1	1	16	1	1	15	0	0	1	91.0714285714	87.2023809524	59.29	65.205	-10	13.5	30.0
3	180.76275	7	0	2	3	29	3	29	5	0	0	52	1	0	14	0	0	14	0	0	1	97.9166666667	93.75	49.49	62.405	0	1.5	16.0
3	180.69525	1	0	2	9	39	9	39	9	7	1	66	1	1	16	0	0	16	1	0	1	99.7023809524	95.5357142857	31.99	51.555	-5	10.5	30.0
3	180.0465	53	46	1	2	14	2	14	2	3	1	21	1	1	16	0	1	16	1	0	1	70.5357142857	82.1428571429	58.94	64.33	-5	15.0	30.0
3	179.6345	31	1	1	4	22	4	22	7	0	1	39	1	1	15	0	0	16	0	0	1	90.4761904762	88.6904761905	50.82	61.39	-5	4.5	26.0
3	179.06925	3	3	9	2	3	2	3	2	2	0	3	1	0	16	1	1	16	1	1	1	98.2142857143	80.3571428571	64.33	66.185	0	30.0	24.0
